DATE,Payrolls,CPI,UClaims,PPI,URate
1/1/1939,29923,,,,
1/1/1967,65407,32.9,209000,,1.6
2/1/1967,65429,33,229000,,1.6
1/1/1947,43535,21.48,,,
3/1/1967,65530,33,260750,,1.5
4/1/1967,65466,33.1,263000,,1.6
2/1/1939,30100,,,,
5/1/1967,65620,33.1,235750,,1.6
6/1/1967,65750,33.3,232000,,1.7
2/1/1947,43557,21.62,,,
7/1/1967,65888,33.4,227800,,1.6
8/1/1967,66143,33.5,212750,,1.5
3/1/1939,30280,,,,
9/1/1967,66164,33.6,216400,,1.6
10/1/1967,66225,33.7,216750,,1.6
3/1/1947,43607,22,,,
11/1/1967,66703,33.9,206250,,1.6
12/1/1967,66900,34,211200,,1.6
4/1/1939,30094,,,,
1/1/1968,66804,34.1,215750,,1.6
2/1/1968,67215,34.2,210750,,1.5
4/1/1947,43499,22,,,
3/1/1968,67295,34.3,195200,,1.5
4/1/1968,67556,34.4,199000,,1.3
5/1/1939,30299,,,,
5/1/1968,67652,34.5,199000,,1.3
6/1/1968,67905,34.7,193600,,1.2
5/1/1947,43638,21.95,,,
7/1/1968,68126,34.9,196250,,1.3
8/1/1968,68330,35,199400,,1.4
6/1/1939,30502,,,,
9/1/1968,68484,35.1,191000,,1.3
10/1/1968,68721,35.3,186000,,1.3
6/1/1947,43810,22.08,,,
11/1/1968,68984,35.4,183400,,1.3
12/1/1968,69248,35.6,199500,,1.2
7/1/1939,30419,,,,
1/1/1969,69439,35.7,191500,,1.2
2/1/1969,69699,35.8,196000,,1.2
7/1/1947,43743,22.23,,,
3/1/1969,69905,36.1,189000,,1.2
4/1/1969,70072,36.3,184000,,1.3
8/1/1939,30663,,,,
5/1/1969,70328,36.4,181200,,1.2
6/1/1969,70636,36.6,192000,,1.2
8/1/1947,43960,22.4,,,
7/1/1969,70729,36.8,208750,,1.3
8/1/1969,71008,36.9,198400,,1.2
9/1/1939,31031,,,,
9/1/1969,70914,37.1,194750,,1.2
10/1/1969,71121,37.3,199250,,1.3
9/1/1947,44203,22.84,,,
11/1/1969,71086,37.5,205000,,1.3
12/1/1969,71241,37.7,219750,,1.4
10/1/1939,31411,,,,
1/1/1970,71176,37.9,247000,,1.5
2/1/1970,71305,38.1,258500,,1.7
10/1/1947,44411,22.91,,,
3/1/1970,71451,38.3,268250,,1.8
4/1/1970,71348,38.5,325250,,1.9
11/1/1939,31470,,,,
5/1/1970,71124,38.6,310400,,2.2
6/1/1970,71029,38.8,296500,,2.2
11/1/1947,44484,23.06,,,
7/1/1970,71053,38.9,286500,,2.2
8/1/1970,70937,39,285400,,2.3
12/1/1939,31542,,,,
9/1/1970,70944,39.2,318500,,2.5
10/1/1970,70521,39.4,333600,,2.7
12/1/1947,44581,23.41,,,
11/1/1970,70409,39.6,325250,,2.8
12/1/1970,70792,39.8,306000,,2.9
1/1/1940,31603,,,,
1/1/1971,70865,39.9,298800,,2.8
2/1/1971,70807,39.9,284000,,2.8
1/1/1948,44679,23.68,,,
3/1/1971,70860,40,293750,,2.7
4/1/1971,71036,40.1,287500,,2.8
2/1/1940,31715,,,,
5/1/1971,71247,40.3,292200,,2.8
6/1/1971,71254,40.5,296500,,2.7
2/1/1948,44533,23.67,,,
7/1/1971,71315,40.6,293200,,2.8
8/1/1971,71373,40.7,325250,,2.9
3/1/1940,31825,,,,
9/1/1971,71614,40.8,320250,,2.8
10/1/1971,71642,40.9,297600,,2.7
3/1/1948,44683,23.5,,,
11/1/1971,71847,41,287000,,2.8
12/1/1971,72109,41.1,273000,,2.7
4/1/1940,31701,,,,
1/1/1972,72441,41.2,271200,,2.6
2/1/1972,72648,41.4,263500,,2.5
4/1/1948,44379,23.82,,,
3/1/1972,72944,41.4,262750,,2.5
4/1/1972,73162,41.5,263000,,2.4
5/1/1940,31879,,,,
5/1/1972,73469,41.6,267750,,2.6
6/1/1972,73758,41.7,273250,,2.5
5/1/1948,44796,24.01,,,
7/1/1972,73709,41.8,297600,,2.5
8/1/1972,74141,41.9,253500,,2.5
6/1/1940,31977,,,,
9/1/1972,74264,42.1,256200,,2.4
10/1/1972,74674,42.2,251000,,2.3
6/1/1948,45034,24.15,,,
11/1/1972,74973,42.4,250750,,2.2
12/1/1972,75268,42.5,242400,,2.1
7/1/1940,31942,,,,
1/1/1973,75617,42.7,228500,,2
2/1/1973,76014,43,222000,,2
7/1/1948,45160,24.4,,,
3/1/1973,76284,43.4,227200,,1.9
4/1/1973,76455,43.7,239000,,1.9
8/1/1940,32352,,,,
5/1/1973,76648,43.9,240250,,1.8
6/1/1973,76887,44.2,238800,,1.9
8/1/1948,45178,24.43,,,
7/1/1973,76913,44.2,242750,,1.8
8/1/1973,77168,45,258250,,1.9
9/1/1940,32810,,,,
9/1/1973,77276,45.2,246800,,1.9
10/1/1973,77607,45.6,241500,,1.7
9/1/1948,45294,24.36,,,
11/1/1973,77920,45.9,253750,,1.9
12/1/1973,78031,46.3,284000,,2
10/1/1940,33267,,,,
1/1/1974,78100,46.8,305250,,2.2
2/1/1974,78254,47.3,318500,,2.2
10/1/1948,45245,24.31,,,
3/1/1974,78296,47.8,311600,,2.2
4/1/1974,78382,48.1,293000,,2.2
11/1/1940,33669,,,,
5/1/1974,78549,48.6,297500,,2.1
6/1/1974,78604,49,305600,,2.2
11/1/1948,45192,24.16,,,
7/1/1974,78636,49.3,309500,,2.3
8/1/1974,78619,49.9,341400,,2.3
12/1/1940,34174,,,,
