DATE,UClaims,URate,Payrolls,CPI,PPI,GDP
1/1/86,366750,3.2,98732,109.9,101.3,4507.894
2/1/86,369500,3.5,98847,109.7,99.9,4520.376
3/1/86,381200,3.6,98934,109.1,98.3,4532.858
4/1/86,385750,3.4,99121,108.7,97.9,4545.34
5/1/86,386000,3.6,99248,109,98.2,4566.116
6/1/86,370500,3.6,99155,109.4,98.2,4586.893
7/1/86,362000,3.5,99473,109.5,97.5,4607.669
8/1/86,407400,3.3,99588,109.6,97.4,4624.322
9/1/86,395500,3.4,99934,110,97.6,4640.974
10/1/86,383250,3.4,100121,110.2,98.2,4657.627
11/1/86,363200,3.3,100308,110.4,98.3,4679.137
12/1/86,358250,3.3,100509,110.8,98.3,4700.646
1/1/87,345600,3.3,100678,111.4,99.1,4722.156
2/1/87,348750,3.2,100919,111.8,99.5,4750.157
3/1/87,333250,3.2,101164,112.2,99.5,4778.159
4/1/87,336250,3.1,101499,112.7,100.2,4806.16
5/1/87,331000,3,101728,113,100.6,4832.292
6/1/87,322250,3,101900,113.5,100.9,4858.423
7/1/87,319250,2.9,102247,113.8,101.3,4884.555
8/1/87,325600,2.8,102420,114.3,101.6,4925.701
9/1/87,309750,2.8,102647,114.7,101.3,4966.848
10/1/87,300000,2.9,103138,115,102,5007.994
11/1/87,306750,2.7,103372,115.4,102.2,5029.787
12/1/87,318750,2.6,103661,115.6,102.1,5051.579
1/1/88,335600,2.6,103753,116,102.4,5073.372
2/1/88,318750,2.6,104214,116.2,102.6,5112.26
3/1/88,305500,2.6,104489,116.5,102.8,5151.148
4/1/88,312200,2.4,104732,117.2,103.4,5190.036
5/1/88,313750,2.7,104962,117.5,103.9,5220.969
6/1/88,308250,2.6,105326,118,104.3,5251.902
7/1/88,321600,2.6,105550,118.5,104.9,5282.835
8/1/88,314750,2.5,105674,119,105.1,5321.726
9/1/88,304500,2.5,106013,119.5,105.1,5360.618
10/1/88,291400,2.5,106276,119.9,105.6,5399.509
11/1/88,290500,2.5,106617,120.3,106.1,5436.757
12/1/88,293200,2.5,106898,120.7,106.4,5474.005
1/1/89,289750,2.5,107161,121.2,107.5,5511.253
2/1/89,303750,2.3,107427,121.6,107.9,5544.99
3/1/89,322000,2.3,107621,122.2,108.5,5578.726
4/1/89,311800,2.4,107791,123.1,109.4,5612.463
5/1/89,324500,2.2,107913,123.7,110.1,5640.097
6/1/89,333000,2.3,108027,124.1,110.1,5667.731
7/1/89,341600,2.4,108069,124.5,109.9,5695.365
8/1/89,334500,2.4,108120,124.5,109.6,5712.656
9/1/89,336000,2.4,108369,124.8,109.9,5729.946
10/1/89,363250,2.4,108476,125.4,110.8,5747.237
11/1/89,336750,2.5,108752,125.9,110.8,5789.058
12/1/89,355200,2.5,108836,126.3,111,5830.88
1/1/90,361000,2.5,109188,127.5,112.7,5872.701
2/1/90,358250,2.4,109432,128,112.2,5901.81
3/1/90,345200,2.4,109636,128.6,112.3,5930.919
4/1/90,361750,2.5,109670,128.9,112.6,5960.028
5/1/90,355250,2.5,109833,129.1,113.1,5978.391
