DATE,UClaims,URate,Payrolls,CPI,PPI
1/1/1986,366750,3.2,98732,109.9,101.3
2/1/1986,369500,3.5,98847,109.7,99.9
3/1/1986,381200,3.6,98934,109.1,98.3
4/1/1986,385750,3.4,99121,108.7,97.9
5/1/1986,386000,3.6,99248,109,98.2
6/1/1986,370500,3.6,99155,109.4,98.2
7/1/1986,362000,3.5,99473,109.5,97.5
8/1/1986,407400,3.3,99588,109.6,97.4
9/1/1986,395500,3.4,99934,110,97.6
10/1/1986,383250,3.4,100121,110.2,98.2
11/1/1986,363200,3.3,100308,110.4,98.3
12/1/1986,358250,3.3,100509,110.8,98.3
1/1/1987,345600,3.3,100678,111.4,99.1
2/1/1987,348750,3.2,100919,111.8,99.5
3/1/1987,333250,3.2,101164,112.2,99.5
4/1/1987,336250,3.1,101499,112.7,100.2
5/1/1987,331000,3,101728,113,100.6
6/1/1987,322250,3,101900,113.5,100.9
7/1/1987,319250,2.9,102247,113.8,101.3
8/1/1987,325600,2.8,102420,114.3,101.6
9/1/1987,309750,2.8,102647,114.7,101.3
10/1/1987,300000,2.9,103138,115,102.0
11/1/1987,306750,2.7,103372,115.4,102.2
12/1/1987,318750,2.6,103661,115.6,102.1
1/1/1988,335600,2.6,103753,116,102.4
2/1/1988,318750,2.6,104214,116.2,102.6
3/1/1988,305500,2.6,104489,116.5,102.8
4/1/1988,312200,2.4,104732,117.2,103.4
5/1/1988,313750,2.7,104962,117.5,103.9
6/1/1988,308250,2.6,105326,118,104.3
7/1/1988,321600,2.6,105550,118.5,104.9
8/1/1988,314750,2.5,105674,119,105.1
9/1/1988,304500,2.5,106013,119.5,105.1
10/1/1988,291400,2.5,106276,119.9,105.6
11/1/1988,290500,2.5,106617,120.3,106.1
12/1/1988,293200,2.5,106898,120.7,106.4
1/1/1989,289750,2.5,107161,121.2,107.5
2/1/1989,303750,2.3,107427,121.6,107.9
3/1/1989,322000,2.3,107621,122.2,108.5
