DATE,UClaims,URate,Payrolls,CPI,PPI
1/1/86,366750,3.2,98732,0.00%,0.00%
2/1/86,369500,3.5,98847,-0.18%,-1.38%
3/1/86,381200,3.6,98934,-0.55%,-1.60%
4/1/86,385750,3.4,99121,-0.37%,-0.41%
5/1/86,386000,3.6,99248,0.28%,0.31%
6/1/86,370500,3.6,99155,0.37%,0.00%
7/1/86,362000,3.5,99473,0.09%,-0.71%
8/1/86,407400,3.3,99588,0.09%,-0.10%
9/1/86,395500,3.4,99934,0.36%,0.21%
10/1/86,383250,3.4,100121,0.18%,0.61%
11/1/86,363200,3.3,100308,0.18%,0.10%
12/1/86,358250,3.3,100509,0.36%,0.00%
1/1/87,345600,3.3,100678,0.54%,0.81%
2/1/87,348750,3.2,100919,0.36%,0.40%
3/1/87,333250,3.2,101164,0.36%,0.00%
4/1/87,336250,3.1,101499,0.45%,0.70%
5/1/87,331000,3,101728,0.27%,0.40%
6/1/87,322250,3,101900,0.44%,0.30%
7/1/87,319250,2.9,102247,0.26%,0.40%
8/1/87,325600,2.8,102420,0.44%,0.30%
9/1/87,309750,2.8,102647,0.35%,-0.30%
10/1/87,300000,2.9,103138,0.26%,0.69%
11/1/87,306750,2.7,103372,0.35%,0.20%
12/1/87,318750,2.6,103661,0.17%,-0.10%
1/1/88,335600,2.6,103753,0.35%,0.29%
2/1/88,318750,2.6,104214,0.17%,0.20%
3/1/88,305500,2.6,104489,0.26%,0.19%
4/1/88,312200,2.4,104732,0.60%,0.58%
5/1/88,313750,2.7,104962,0.26%,0.48%
6/1/88,308250,2.6,105326,0.43%,0.38%
7/1/88,321600,2.6,105550,0.42%,0.58%
8/1/88,314750,2.5,105674,0.42%,0.19%
9/1/88,304500,2.5,106013,0.42%,0.00%
10/1/88,291400,2.5,106276,0.33%,0.48%
11/1/88,290500,2.5,106617,0.33%,0.47%
12/1/88,293200,2.5,106898,0.33%,0.28%
1/1/89,289750,2.5,107161,0.41%,1.03%
2/1/89,303750,2.3,107427,0.33%,0.37%
3/1/89,322000,2.3,107621,0.49%,0.56%
4/1/89,311800,2.4,107791,0.74%,0.83%
5/1/89,324500,2.2,107913,0.49%,0.64%
6/1/89,333000,2.3,108027,0.32%,0.00%
7/1/89,341600,2.4,108069,0.32%,-0.18%
8/1/89,334500,2.4,108120,0.00%,-0.27%
9/1/89,336000,2.4,108369,0.24%,0.27%
10/1/89,363250,2.4,108476,0.48%,0.82%
11/1/89,336750,2.5,108752,0.40%,0.00%
12/1/89,355200,2.5,108836,0.32%,0.18%
1/1/90,361000,2.5,109188,0.95%,1.53%
2/1/90,358250,2.4,109432,0.39%,-0.44%
3/1/90,345200,2.4,109636,0.47%,0.09%
4/1/90,361750,2.5,109670,0.23%,0.27%
5/1/90,355250,2.5,109833,0.16%,0.44%
6/1/90,362400,2.5,109857,0.62%,0.00%
7/1/90,367000,2.6,109823,0.46%,0.09%
8/1/90,384250,2.8,109609,0.84%,1.24%
9/1/90,394000,2.9,109521,0.68%,1.40%
10/1/90,425250,3,109373,0.68%,1.64%
11/1/90,446750,3.1,109220,0.22%,0.08%
12/1/90,455000,3.1,109172,0.37%,-0.85%
1/1/91,439750,3.4,109050,0.37%,-0.26%
2/1/91,484000,3.5,108731,0.07%,-0.60%
3/1/91,498600,3.7,108568,0.00%,-0.77%
4/1/91,467250,3.6,108351,0.22%,0.09%
5/1/91,447000,3.7,108249,0.37%,0.17%
6/1/91,428600,3.8,108337,0.29%,0.00%
7/1/91,418250,3.8,108290,0.15%,-0.17%
8/1/91,431600,3.8,108301,0.29%,0.26%
9/1/91,424500,3.8,108334,0.29%,0.00%
10/1/91,422750,3.8,108361,0.15%,0.61%
11/1/91,445400,3.8,108301,0.44%,0.09%
12/1/91,456750,4,108333,0.29%,-0.43%
1/1/92,439000,4,108367,0.07%,-0.09%
2/1/92,442200,4.2,108313,0.22%,0.35%
3/1/92,429500,4.2,108360,0.36%,0.09%
4/1/92,418250,4.2,108515,0.22%,0.43%
5/1/92,417400,4.4,108648,0.22%,0.60%
6/1/92,418750,4.4,108717,0.29%,0.26%
7/1/92,442750,4.3,108799,0.29%,-0.08%
8/1/92,407200,4.2,108922,0.21%,-0.17%
9/1/92,417000,4.3,108955,0.21%,0.00%
10/1/92,377800,4.3,109135,0.43%,0.60%
11/1/92,362250,4.1,109279,0.28%,-0.08%
12/1/92,339000,4,109502,0.14%,-0.25%
1/1/93,345600,3.9,109794,0.35%,0.42%
2/1/93,338250,3.8,110044,0.21%,0.42%
3/1/93,351000,3.9,109992,0.14%,0.34%
4/1/93,354750,3.9,110295,0.35%,0.34%
5/1/93,343600,3.8,110570,0.28%,0.08%
6/1/93,342750,3.8,110751,0.07%,-0.25%
7/1/93,350800,3.8,111060,0.14%,-0.17%
8/1/93,341000,3.8,111209,0.21%,-0.59%
9/1/93,339000,3.7,111455,0.14%,-0.17%
10/1/93,349800,3.7,111733,0.41%,0.84%
11/1/93,341000,3.5,111989,0.27%,-0.08%
12/1/93,323000,3.4,112323,0.21%,-0.42%
1/1/94,359200,3.3,112598,0.00%,0.42%
